full_name,age,position,Current Club,minutes_played_overall,goals_overall,assists_overall,cards_per_90_overall,conceded_per_90_overall,min_per_match,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders
Ben Gibson,29,Defender,Burnley,63,1,0,1.43,4.29,63,-1,-1,-1
Ben Hamer,34,Goalkeeper,Huddersfield Town,553,0,0,0.0,3.25,79,327,348,175
Ben Johnson,22,Forward,West Ham United,63,0,0,0.0,1.43,63,-1,-1,-1
Ben Mee,33,Defender,Burnley,3420,0,2,0.24,1.5,90,380,211,118
Ben White,25,Defender,Brighton & Hove Albion,0,0,0,0.0,0.0,0,-1,-1,-1
Ben Wilmot,23,Defender,Watford,26,0,0,0.0,6.92,13,-1,-1,-1
Benjamin Mendy,28,Defender,Manchester City,900,0,5,0.1,0.6,90,311,3,12
Beram Kayal,34,Midfielder,Brighton & Hove Albion,934,1,1,0.39,1.45,52,163,146,-1
Bernard Anício Caldeira Duarte,30,Midfielder,Everton,2128,1,3,0.21,0.8,63,243,117,-1
Bernardo,27,Defender,Brighton & Hove Albion,1750,0,1,0.21,1.44,80,400,200,107
Bernardo Silva,28,Midfielder,Manchester City,2853,7,7,0.09,0.69,79,85,58,-1
Bernd Leno,30,Goalkeeper,Arsenal,2835,0,0,0.0,1.24,89,390,413,76
Bobby Reid,29,Midfielder,Cardiff City,1422,5,2,0.0,1.71,53,55,115,-1
Brian Murphy,39,Goalkeeper,Cardiff City,0,0,0,0.0,0.0,0,-1,-1,-1
Bright Enobakhare,24,Forward,Wolverhampton Wanderers,0,0,0,0.0,0.0,0,-1,-1,-1
Bruno Écuélé Manga,34,Defender,Cardiff City,3375,0,1,0.0,1.57,89,337,242,126
Bruno Saltor Grau,42,Defender,Brighton & Hove Albion,1136,0,1,0.16,1.35,81,399,175,92
Caglar Söyüncü,26,Defender,Leicester City,371,0,0,0.24,0.73,62,267,330,16
Callum Hudson-Odoi,21,Midfielder,Chelsea,391,0,1,0.0,1.15,39,277,54,-1
Callum Paterson,28,Defender,Cardiff City,1996,4,1,0.18,1.67,74,108,202,137
Callum Roberts,25,Forward,Newcastle United,0,0,0,0.0,0.0,0,-1,-1,-1
Callum Slattery,23,Midfielder,Southampton,110,0,0,0.0,0.0,37,-1,-1,-1
Callum Wilson,30,Forward,AFC Bournemouth,2535,14,9,0.11,1.56,85,17,16,-1
